LShoulder,RShoulder,LKnee,RKnee,LElbow,RElbow,LHip,RHip,Label
123.00065762630993,48.030048262246254,81.61797037030624,50.828290094838955,146.62615489179464,145.43553591321907,27.031178509582663,162.1764850235989,0
162.77971053204442,128.5843244759242,97.78399175386254,10.710525565548917,170.5289344830196,121.99640408412718,157.03454324964937,67.64269216130147,0
153.398492218104,22.67196887889317,74.57130229608309,35.11290729563974,89.08834927774814,133.48444547345292,179.01399321065642,51.595653609654654,0
148.35449202687656,178.63685658499983,82.49500351145181,73.28786762276184,146.83820773748224,179.63030082438,165.9573711628557,161.24658768406297,0
114.35759857478142,138.46262587268555,114.72807001977618,125.4715456669126,167.49493001476583,172.3059729580689,45.702921898575255,124.15730972496452,0
154.65708120068015,139.1445595144336,84.42988039107576,141.64239654104395,156.43801054159488,135.96962431712666,151.92273809339517,75.94702360347785,0
150.69187114140988,102.70265532613074,82.00554049741869,44.49931859010259,156.38137881466318,145.43553591321907,158.5831649095281,44.13487892031206,0
98.03021427061267,165.31485937281008,60.83321184682117,52.09358725301577,144.12886653630932,176.96215631264508,150.3716338254003,31.774294215693605,0
160.82626430749877,156.38163799853714,47.93239282448648,27.011958492225563,148.37632280356775,170.1517267368351,127.3855909369975,56.0474509248882,0
146.37422457178633,153.18981230677818,135.90229813963455,68.7253199399722,119.69078317181558,174.32847159516766,176.51775829761957,40.215414625674626,0
143.39995121485256,125.58404096660637,87.64708317709233,50.28561514905296,179.09261020549616,163.8459681472473,127.56818283489758,86.92801888765244,0
142.5884056817332,158.75514300448086,101.14978683378472,171.30120934657816,177.17686765404983,75.32615619513848,177.05788114604766,70.059464967524,0
175.56643231613822,58.62297152567913,119.41178601524233,157.9237018043129,153.4632160668435,145.43553591321907,139.10273325441548,81.11703913480655,0
156.69621360759086,134.11396814056855,75.90667151291848,131.43722450456636,164.5973594030211,152.59248466226154,9.217662108481964,128.6344412248442,0
125.41483101729756,141.03996843797677,0.7630399469584489,67.52203879447653,173.96985563530956,171.96664153186168,109.52519589832735,140.79051192737526,0
131.79785496283554,149.68629993492758,107.66676226791041,31.310014941346484,174.35222792621758,166.74953504100873,168.4288437197675,165.43350896917244,0
129.06928075082368,164.99785621318108,58.54856528635868,42.33637910155516,150.4544595129767,107.95207294479268,162.0417446594872,61.4370222879762,0
175.35812769333083,174.73464708719945,19.913796247338475,84.10513159051236,176.50105594676776,179.8808340056529,108.32039654008108,134.30356995324206,0
178.38874336413537,150.41988398337796,21.133661121786137,83.54252003790042,144.11960012809678,171.83288100990563,90.11039413266951,142.95816120725834,0
151.2704287766014,144.70280289691533,119.6364580593141,158.670718740455,112.81886198436227,161.1858492188896,114.83087521434656,89.89687585995404,0
160.76046567171582,164.19732547526138,131.68063410300906,78.8590635989281,84.51842959724614,179.65957026075492,67.11556653818162,153.95473450400416,0
76.42355134411604,157.9966662054123,90.36008786922449,144.8276582990181,138.30435037864822,98.59466365445785,145.2773366552646,166.2802509355763,0
174.97136138956236,157.3541293039496,34.031895776900896,123.82870016170254,69.68726101409698,173.81369110795015,144.85268172922284,174.73629787506957,0
166.8601038179361,153.59678046897506,101.6107008255551,118.08987322257505,173.0929808119374,178.9549186497526,17.979893357503553,160.6896660766073,0
53.340827906175825,84.75186895837403,112.07663499733624,89.64705069371266,95.16025570793728,76.68371561893593,48.72815298597373,154.69197459350767,0
168.26380559743288,164.11983607897537,130.8131103577037,166.31619002586623,159.6482874467847,114.15380236520357,160.52517813855363,91.09065950773604,0
160.3017734252098,65.47690142144408,140.7681128761197,172.3337524404294,176.79246864097,141.44952204181004,124.94598357891034,131.0998376291778,0
131.88321349453636,166.85144393712667,107.8386940425052,84.39302744236994,174.301219121396,121.48962521344022,159.94931574851756,161.74222405583447,0
